sku,product_name,url,qr_png_relative
BIC-LCWT1ON-HAZMAT,BIC Maxi — Neon Edition,https://box.shopluvbuds.com/bic-lcwt1on-hazmat.html,qr-codes/BIC-LCWT1ON-HAZMAT.png
ELMT-KS,Elements King Size Rice Papers,https://box.shopluvbuds.com/elmt-ks.html,qr-codes/ELMT-KS.png
BT-SMYLEINHALER-BLUE,SMYLE Labs Inhaler Battery,https://box.shopluvbuds.com/bt-smyleinhaler-blue.html,qr-codes/BT-SMYLEINHALER-BLUE.png
WP-SG6,"6"" Soft Glass Water Pipe",https://box.shopluvbuds.com/wp-sg6.html,qr-codes/WP-SG6.png
SE-WP-VINTAGEDMD,"5.5"" Vintage Diamond Beaker Bong",https://box.shopluvbuds.com/se-wp-vintagedmd.html,qr-codes/SE-WP-VINTAGEDMD.png
SE-HP-4FRMM-BX,"4"" Frit & Multi Marble Pipe",https://box.shopluvbuds.com/se-hp-4frmm-bx.html,qr-codes/SE-HP-4FRMM-BX.png
HP-CHILL3,"3"" Glass Chillum",https://box.shopluvbuds.com/hp-chill3.html,qr-codes/HP-CHILL3.png
HP-2.5P40G,"2.5"" Glass Hand Pipe",https://box.shopluvbuds.com/hp-2.5p40g.html,qr-codes/HP-2.5P40G.png
BT-350VV,350mAh Variable Voltage Battery,https://box.shopluvbuds.com/bt-350vv.html,qr-codes/BT-350VV.png
PFC-PROXYCOREKIT,"Puffco Proxy Core Kit, Onyx",https://box.shopluvbuds.com/pfc-proxycorekit.html,qr-codes/PFC-PROXYCOREKIT.png
OOZ-1453,Ooze HiLo Conceal 510 Battery,https://box.shopluvbuds.com/ooz-1453.html,qr-codes/OOZ-1453.png
BT-V985D,Pulsar 510 DL 5.0 Auto-Draw Battery,https://box.shopluvbuds.com/bt-v985d.html,qr-codes/BT-V985D.png
KA-WP-STEELCHILL13,"13"" Chill Stainless Steel Bong",https://box.shopluvbuds.com/ka-wp-steelchill13.html,qr-codes/KA-WP-STEELCHILL13.png
ZZUT48,"Zig-Zag Ultra Thin 1 1/4"" Rolling Papers",https://box.shopluvbuds.com/zzut48.html,qr-codes/ZZUT48.png
PFC-PEAKNEWBLK,"The New Puffco Peak, Onyx",https://box.shopluvbuds.com/pfc-peaknewblk.html,qr-codes/PFC-PEAKNEWBLK.png
BT-V1180D,"Pulsar 510 DL 5.0 Battery, Thermo Series",https://box.shopluvbuds.com/bt-v1180d.html,qr-codes/BT-V1180D.png
SE-BT-380VV-BX-24PK,SirEEL 380mAh Preheat Battery,https://box.shopluvbuds.com/se-bt-380vv-bx-24pk.html,qr-codes/SE-BT-380VV-BX-24PK.png
OOZ-1379,Ooze Smart Battery 650mAh,https://box.shopluvbuds.com/ooz-1379.html,qr-codes/OOZ-1379.png
CLIP-PROMO-HAZMAT,Clipper Large Lighter,https://box.shopluvbuds.com/clip-promo-hazmat.html,qr-codes/CLIP-PROMO-HAZMAT.png
HP-3P55G,"3.5"" Glass Hand Pipe",https://box.shopluvbuds.com/hp-3p55g.html,qr-codes/HP-3P55G.png
PC-6PCK-PINK-MC,"Blazy Susan 1 1/4"" Pink Pre-Rolled Cones, 6 Pack",https://box.shopluvbuds.com/pc-6pck-pink-mc.html,qr-codes/PC-6PCK-PINK-MC.png
POP-114-VARIETY-UB2.0,"Pop Cones Unbleached 1 1/4"" Variety, 25 Pack",https://box.shopluvbuds.com/pop-114-variety-ub2.0.html,qr-codes/POP-114-VARIETY-UB2.0.png
SE-WP-BEAKUV,"10"" SirEEL UV Beaker Bong",https://box.shopluvbuds.com/se-wp-beakuv.html,qr-codes/SE-WP-BEAKUV.png
HP-4P85G,"4.5"" Glass Hand Pipe",https://box.shopluvbuds.com/hp-4p85g.html,qr-codes/HP-4P85G.png
CCELL-M4BPRO-ASST,CCELL M4B Pro 290mAh Battery,https://box.shopluvbuds.com/ccell-m4bpro-asst.html,qr-codes/CCELL-M4BPRO-ASST.png
PFC-PEAKNEWSAPPHIRE,"The New Puffco Peak, Sapphire Edition",https://box.shopluvbuds.com/pfc-peaknewsapphire.html,qr-codes/PFC-PEAKNEWSAPPHIRE.png
NWTN-WP-DECOGP-ASST,NWTN Deco Gravity Bong,https://box.shopluvbuds.com/nwtn-wp-decogp-asst.html,qr-codes/NWTN-WP-DECOGP-ASST.png
RAWCONEDISP20PK114,"RAW Classic 1 1/4"" Pre-Rolled Cones, 20 Pack",https://box.shopluvbuds.com/rawconedisp20pk114.html,qr-codes/RAWCONEDISP20PK114.png
GRAV-PBS.0,"GRAV 3"" Spherical Pocket Bubbler",https://box.shopluvbuds.com/grav-pbs.0.html,qr-codes/GRAV-PBS.0.png
PFC-PEAKNEWZEST,"The New Puffco Peak, Zest Edition",https://box.shopluvbuds.com/pfc-peaknewzest.html,qr-codes/PFC-PEAKNEWZEST.png
BT-V852D,"Pulsar 510 DL 2.0 PRO Vape Bar, Mist Series",https://box.shopluvbuds.com/bt-v852d.html,qr-codes/BT-V852D.png
YOCAN-ZIVAPRO-ASST-10PK,Yocan ZIVA PRO 650mAh Battery,https://box.shopluvbuds.com/yocan-zivapro-asst-10pk.html,qr-codes/YOCAN-ZIVAPRO-ASST-10PK.png
